Pos,Club,Country,Part,Titles,Matches,Wins,Drawn,Lost,Goals_F,Goals_A,Points,Difference
1,Real Madrid CF,ESP,27,8,304,182,56,66,641,334,420,307
2,FC Bayern München,GER,26,3,282,166,57,59,580,284,389,296
3,FC Barcelona,ESP,27,4,277,160,65,52,549,286,385,263
4,Manchester United,ENG,24,2,238,124,59,55,400,230,307,170
5,Juventus,ITA,23,1,220,110,53,57,344,226,273,118
6,Chelsea FC,ENG,19,2,197,101,52,44,334,181,254,153
7,FC Porto,POR,26,1,212,91,50,71,284,248,232,36
8,AC Milan,ITA,19,3,183,80,53,50,252,176,213,76
9,Arsenal FC,ENG,19,0,177,83,41,53,281,205,207,76
10,Liverpool FC,ENG,15,2,153,80,35,38,273,154,195,119
11,Paris Saint-Germain,FRA,15,0,137,74,26,37,271,159,174,112
12,FC Internazionale Milano,ITA,16,1,144,66,36,42,199,161,168,38
13,Borussia Dortmund,GER,17,1,146,68,30,48,233,179,166,54
14,Olympique Lyonnais,FRA,16,0,136,58,36,42,214,165,152,49
15,Manchester City FC,ENG,12,1,115,64,23,28,238,129,151,109
16,AFC Ajax,NED,18,1,140,58,35,47,203,165,151,38
17,Club Atlético de Madrid,ESP,13,0,117,52,35,30,152,110,139,42
18,Valencia CF,ESP,12,0,112,48,32,32,165,119,128,46
19,SL Benfica,POR,17,0,126,46,32,48,155,170,124,-15
20,Olympiacos FC,GRE,20,0,128,40,22,66,147,218,102,-71
21,Bayer 04 Leverkusen,GER,13,0,107,37,25,45,146,173,99,-27
22,FC Shakhtar Donetsk,UKR,17,0,112,36,26,50,148,193,98,-45
23,AS Roma,ITA,11,0,99,36,25,38,133,147,97,-14
24,PSV Eindhoven,NED,16,0,110,33,25,52,108,160,91,-52
25,FC Dynamo Kyiv,UKR,18,0,121,30,29,62,137,187,89,-50
26,Galatasaray AŞ,TUR,16,0,116,28,29,59,112,197,85,-85
27,AS Monaco FC,FRA,9,0,78,30,16,32,116,113,76,3
28,FC Schalke 04,GER,8,0,66,26,15,25,91,97,67,-6
29,Sevilla FC,ESP,8,0,60,25,16,19,88,81,66,7
30,Panathinaikos FC,GRE,9,0,74,23,18,33,76,104,64,-28
31,SSC Napoli,ITA,7,0,52,25,12,15,94,66,62,28
32,FC Spartak Moskva,RUS,12,0,80,22,18,40,99,145,62,-46
33,RC Deportivo La Coruña,ESP,5,0,58,23,15,20,74,79,61,-5
34,Olympique de Marseille,FRA,11,1,79,25,11,43,94,110,61,-16
35,Tottenham Hotspur,ENG,6,0,53,23,12,18,89,74,58,15
36,Rosenborg BK,NOR,11,0,74,19,18,37,95,129,56,-34
37,PFC CSKA Moskva,RUS,12,0,78,18,18,42,82,131,54,-49
38,SS Lazio,ITA,6,0,52,19,15,18,79,68,53,11
39,FC Basel 1893,SUI,8,0,60,19,13,28,68,107,51,-39
40,FC Zenit,RUS,9,0,60,18,14,28,68,86,50,-18
41,Sporting Clube de Portugal,POR,10,0,64,19,10,35,82,115,48,-33
42,Celtic FC,SCO,11,0,72,18,12,42,65,131,48,-66
43,Rangers FC,SCO,11,0,68,12,23,33,65,116,47,-51
44,RSC Anderlecht,BEL,12,0,78,13,20,45,65,150,46,-85
45,Club Brugge,BEL,10,0,62,14,17,31,55,100,45,-45
46,SV Werder Bremen,GER,7,0,46,16,10,20,69,86,42,-17
